ECCN_CODE,DESCRIPTION,ULTIMATE_COUNTRY_NAME,cases by country
0A985,DISCHARGE TYPE ARMS,BELIZE,1
0A985,DISCHARGE TYPE ARMS,BRAZIL,1
0A985,DISCHARGE TYPE ARMS,BULGARIA,2
0A985,DISCHARGE TYPE ARMS,CANADA,1
0A985,DISCHARGE TYPE ARMS,CHILE,2
0A985,DISCHARGE TYPE ARMS,COLOMBIA,3
0A985,DISCHARGE TYPE ARMS,COSTA RICA,1
0A985,DISCHARGE TYPE ARMS,CROATIA,1
0A985,DISCHARGE TYPE ARMS,CZECH REPUBLIC,1
0A985,DISCHARGE TYPE ARMS,DOMINICAN REPUBLIC,1
0A985,DISCHARGE TYPE ARMS,ECUADOR,2
0A985,DISCHARGE TYPE ARMS,EL SALVADOR,1
0A985,DISCHARGE TYPE ARMS,FINLAND,1
0A985,DISCHARGE TYPE ARMS,FRANCE,4
0A985,DISCHARGE TYPE ARMS,"GERMANY, FEDERAL REP",1
0A985,DISCHARGE TYPE ARMS,GUATEMALA,2
0A985,DISCHARGE TYPE ARMS,HONDURAS,3
0A985,DISCHARGE TYPE ARMS,HUNGARY,2
0A985,DISCHARGE TYPE ARMS,ISRAEL,4
0A985,DISCHARGE TYPE ARMS,ITALY,1
0A985,DISCHARGE TYPE ARMS,JAPAN,2
0A985,DISCHARGE TYPE ARMS,JORDAN,2
0A985,DISCHARGE TYPE ARMS,"KOREA, REPUBLIC OF (SOUTH KOREA)",2
0A985,DISCHARGE TYPE ARMS,LATVIA,1
0A985,DISCHARGE TYPE ARMS,MALAYSIA,1
0A985,DISCHARGE TYPE ARMS,MEXICO,7
0A985,DISCHARGE TYPE ARMS,NEW ZEALAND,1
0A985,DISCHARGE TYPE ARMS,NICARAGUA,2
0A985,DISCHARGE TYPE ARMS,NORWAY,1
0A985,DISCHARGE TYPE ARMS,OMAN,1
0A985,DISCHARGE TYPE ARMS,PANAMA,3
0A985,DISCHARGE TYPE ARMS,PERU,2
0A985,DISCHARGE TYPE ARMS,PHILIPPINES,1
0A985,DISCHARGE TYPE ARMS,POLAND,2
0A985,DISCHARGE TYPE ARMS,SAUDI ARABIA,1
0A985,DISCHARGE TYPE ARMS,SINGAPORE,1
0A985,DISCHARGE TYPE ARMS,SPAIN,3
0A985,DISCHARGE TYPE ARMS,TRINIDAD AND TOBAGO,1
0A985,DISCHARGE TYPE ARMS,TURKEY,1
0A985,DISCHARGE TYPE ARMS,UNITED ARAB EMIRATES,1
0A985,DISCHARGE TYPE ARMS,UNITED KINGDOM,2
0A985,DISCHARGE TYPE ARMS,URUGUAY,1
0A985,DISCHARGE TYPE ARMS,VENEZUELA,2
0A986,SHOTGUN SHELLS (EXCEPT BUCKSHOT SHELLS) AND PARTS,BELIZE,1
0A986,SHOTGUN SHELLS (EXCEPT BUCKSHOT SHELLS) AND PARTS,BOLIVIA,1
0A986,SHOTGUN SHELLS (EXCEPT BUCKSHOT SHELLS) AND PARTS,BRAZIL,1
0A986,SHOTGUN SHELLS (EXCEPT BUCKSHOT SHELLS) AND PARTS,CANADA,9
0A986,SHOTGUN SHELLS (EXCEPT BUCKSHOT SHELLS) AND PARTS,CHILE,2
0A986,SHOTGUN SHELLS (EXCEPT BUCKSHOT SHELLS) AND PARTS,COSTA RICA,2
0A986,SHOTGUN SHELLS (EXCEPT BUCKSHOT SHELLS) AND PARTS,GUYANA,1
0A986,SHOTGUN SHELLS (EXCEPT BUCKSHOT SHELLS) AND PARTS,JAMAICA,1
0A986,SHOTGUN SHELLS (EXCEPT BUCKSHOT SHELLS) AND PARTS,JORDAN,2
0A986,SHOTGUN SHELLS (EXCEPT BUCKSHOT SHELLS) AND PARTS,LIBYA,1
0A986,SHOTGUN SHELLS (EXCEPT BUCKSHOT SHELLS) AND PARTS,MOROCCO,1
0A986,SHOTGUN SHELLS (EXCEPT BUCKSHOT SHELLS) AND PARTS,PANAMA,1
0A986,SHOTGUN SHELLS (EXCEPT BUCKSHOT SHELLS) AND PARTS,SINGAPORE,1
0A986,SHOTGUN SHELLS (EXCEPT BUCKSHOT SHELLS) AND PARTS,ST KITTS AND NEVIS,3
0A986,SHOTGUN SHELLS (EXCEPT BUCKSHOT SHELLS) AND PARTS,ST LUCIA,1
0A986,SHOTGUN SHELLS (EXCEPT BUCKSHOT SHELLS) AND PARTS,UNITED ARAB EMIRATES,1
0A987,OPTICAL SIGHTING DEVICES FOR FIREARMS,ARGENTINA,2
0A987,OPTICAL SIGHTING DEVICES FOR FIREARMS,ARMENIA,2
0A987,OPTICAL SIGHTING DEVICES FOR FIREARMS,AUSTRIA,6
0A987,OPTICAL SIGHTING DEVICES FOR FIREARMS,AZERBAIJAN,1
0A987,OPTICAL SIGHTING DEVICES FOR FIREARMS,BAHRAIN,1
0A987,OPTICAL SIGHTING DEVICES FOR FIREARMS,BELARUS,1
0A987,OPTICAL SIGHTING DEVICES FOR FIREARMS,BOSNIA AND HERZEGOVINA,2
0A987,OPTICAL SIGHTING DEVICES FOR FIREARMS,BRAZIL,6
0A987,OPTICAL SIGHTING DEVICES FOR FIREARMS,CANADA,53
0A987,OPTICAL SIGHTING DEVICES FOR FIREARMS,CHILE,3
0A987,OPTICAL SIGHTING DEVICES FOR FIREARMS,CHINA,4
0A987,OPTICAL SIGHTING DEVICES FOR FIREARMS,CYPRUS,1
0A987,OPTICAL SIGHTING DEVICES FOR FIREARMS,FINLAND,3
0A987,OPTICAL SIGHTING DEVICES FOR FIREARMS,GRENADA,1
0A987,OPTICAL SIGHTING DEVICES FOR FIREARMS,GUATEMALA,1
0A987,OPTICAL SIGHTING DEVICES FOR FIREARMS,HONG KONG,3
0A987,OPTICAL SIGHTING DEVICES FOR FIREARMS,INDONESIA,4
0A987,OPTICAL SIGHTING DEVICES FOR FIREARMS,IRELAND,5
0A987,OPTICAL SIGHTING DEVICES FOR FIREARMS,ISRAEL,8
0A987,OPTICAL SIGHTING DEVICES FOR FIREARMS,JAMAICA,2
0A987,OPTICAL SIGHTING DEVICES FOR FIREARMS,JORDAN,5
0A987,OPTICAL SIGHTING DEVICES FOR FIREARMS,KAZAKHSTAN,3
0A987,OPTICAL SIGHTING DEVICES FOR FIREARMS,"KOREA, REPUBLIC OF (SOUTH KOREA)",1
0A987,OPTICAL SIGHTING DEVICES FOR FIREARMS,KUWAIT,1
0A987,OPTICAL SIGHTING DEVICES FOR FIREARMS,KYRGYZSTAN,1
0A987,OPTICAL SIGHTING DEVICES FOR FIREARMS,MALAYSIA,1
0A987,OPTICAL SIGHTING DEVICES FOR FIREARMS,MAURITIUS,1
0A987,OPTICAL SIGHTING DEVICES FOR FIREARMS,MEXICO,3
0A987,OPTICAL SIGHTING DEVICES FOR FIREARMS,MOZAMBIQUE,1
0A987,OPTICAL SIGHTING DEVICES FOR FIREARMS,NETHERLANDS,1
0A987,OPTICAL SIGHTING DEVICES FOR FIREARMS,NEW ZEALAND,1
0A987,OPTICAL SIGHTING DEVICES FOR FIREARMS,NICARAGUA,1
0A987,OPTICAL SIGHTING DEVICES FOR FIREARMS,PAKISTAN,1
0A987,OPTICAL SIGHTING DEVICES FOR FIREARMS,PANAMA,1
0A987,OPTICAL SIGHTING DEVICES FOR FIREARMS,PHILIPPINES,3
0A987,OPTICAL SIGHTING DEVICES FOR FIREARMS,SINGAPORE,2
0A987,OPTICAL SIGHTING DEVICES FOR FIREARMS,SOUTH AFRICA,9
0A987,OPTICAL SIGHTING DEVICES FOR FIREARMS,SWEDEN,11
0A987,OPTICAL SIGHTING DEVICES FOR FIREARMS,SWITZERLAND,8
0A987,OPTICAL SIGHTING DEVICES FOR FIREARMS,TAIWAN,1
0A987,OPTICAL SIGHTING DEVICES FOR FIREARMS,THAILAND,8
0A987,OPTICAL SIGHTING DEVICES FOR FIREARMS,UKRAINE,2
0A987,OPTICAL SIGHTING DEVICES FOR FIREARMS,UNITED ARAB EMIRATES,4
0A987,OPTICAL SIGHTING DEVICES FOR FIREARMS,URUGUAY,2
0A987,OPTICAL SIGHTING DEVICES FOR FIREARMS,UZBEKISTAN,1
0A987,OPTICAL SIGHTING DEVICES FOR FIREARMS,ZAMBIA,1
0B606,"TEST, INSPECTION, AND PRODUCTION ""EQUIPMENT"" AND RELATED COMMODITIES, NOT ENUMERATED ON THE USML, ""SPECIALLY DESIGNED"" FOR ""THE DEVELOPMENT,"" ""PRODUCTION"" REPAIR, OVERHAUL, OR REFURBISHING OF COMMODITIES  ENUMERATED IN ECCN 0A606 OR USML CATEGORY VII","GERMANY, FEDERAL REP",1
0B606,"TEST, INSPECTION, AND PRODUCTION ""EQUIPMENT"" AND RELATED COMMODITIES, NOT ENUMERATED ON THE USML, ""SPECIALLY DESIGNED"" FOR ""THE DEVELOPMENT,"" ""PRODUCTION"" REPAIR, OVERHAUL, OR REFURBISHING OF COMMODITIES  ENUMERATED IN ECCN 0A606 OR USML CATEGORY VII",SPAIN,1
0B606,"TEST, INSPECTION, AND PRODUCTION ""EQUIPMENT"" AND RELATED COMMODITIES, NOT ENUMERATED ON THE USML, ""SPECIALLY DESIGNED"" FOR ""THE DEVELOPMENT,"" ""PRODUCTION"" REPAIR, OVERHAUL, OR REFURBISHING OF COMMODITIES  ENUMERATED IN ECCN 0A606 OR USML CATEGORY VII",UNITED KINGDOM,1
